Host,Dopant,ligand,Facet,DFT,ΔCE/CN,ΔEA,ΔWS,ΔBE/CNads
Ag,Au,R-NH2,100,0.282563397,0.06541286,-1.00663,0.01,0.25197855
Ag,Cu,R-NH2,100,0.069753208,0.11533974,0.067,0.34,0.37819818
Ag,Ni,R-NH2,100,-0.018769133,0.37967295,0.146,0.41,1.41135401
Ag,Pd,R-NH2,100,0.042296467,0.16925903,0.74,0.14,0.5340572
Ag,Pt,R-NH2,100,0.386909258,0.50206696,-0.826,0.11,1.85415261
Au,Ag,R-NH2,100,0.062334191,-0.0654129,1.00663,-0.01,-0.2519786
Au,Cu,R-NH2,100,0.039720448,0.04992688,1.07363,0.33,0.12621962
Au,Ni,R-NH2,100,-0.108889109,0.31426008,1.15263,0.4,1.15937546
Au,Pd,R-NH2,100,0.069331919,0.10384616,1.74663,0.13,0.28207864
Au,Pt,R-NH2,100,0.03490202,0.4366541,0.18063,0.1,1.60217406
Cu,Ag,R-NH2,100,-0.188636273,-0.1153397,-0.067,-0.34,-0.3781982
Cu,Au,R-NH2,100,0.03065034,-0.0499269,-1.07363,-0.33,-0.1262196
Cu,Ni,R-NH2,100,0.055445239,0.2643332,0.079,0.07,1.03315583
Cu,Pd,R-NH2,100,0.263641107,0.05391928,0.673,-0.2,0.15585902
Cu,Pt,R-NH2,100,0.360931138,0.38672722,-0.893,-0.23,1.47595444
Ni,Ag,R-NH2,100,-0.539379492,-0.3796729,-0.146,-0.41,-1.411354
Ni,Au,R-NH2,100,-0.37606588,-0.3142601,-1.15263,-0.4,-1.1593755
Ni,Cu,R-NH2,100,-0.031495413,-0.2643332,-0.079,-0.07,-1.0331558
Ni,Pd,R-NH2,100,-0.061856503,-0.2104139,0.594,-0.27,-0.8772968
Ni,Pt,R-NH2,100,0.264208659,0.12239401,-0.972,-0.3,0.4427986
Pd,Ag,R-NH2,100,-0.059870144,-0.169259,-0.74,-0.14,-0.5340572
Pd,Au,R-NH2,100,0.118440481,-0.1038462,-1.74663,-0.13,-0.2820786
Pd,Cu,R-NH2,100,0.220475465,-0.0539193,-0.673,0.2,-0.155859
Pd,Ni,R-NH2,100,0.024307418,0.21041392,-0.594,0.27,0.87729681
Pd,Pt,R-NH2,100,0.325716257,0.33280793,-1.566,-0.03,1.32009542
Pt,Ag,R-NH2,100,-0.532974146,-0.502067,0.826,-0.11,-1.8541526
Pt,Au,R-NH2,100,-0.651350286,-0.4366541,-0.18063,-0.1,-1.6021741
Pt,Cu,R-NH2,100,0.089650635,-0.3867272,0.893,0.23,-1.4759544
Pt,Ni,R-NH2,100,0.085613508,-0.122394,0.972,0.3,-0.4427986
Pt,Pd,R-NH2,100,-0.000521789,-0.3328079,1.566,0.03,-1.3200954
Ag,Au,R-NH2,111,0.19792342,0.05814477,-1.00663,0.01,0.25197855
Ag,Cu,R-NH2,111,0.059507648,0.10252422,0.067,0.34,0.37819818
Ag,Ni,R-NH2,111,0.072092136,0.33748706,0.146,0.41,1.41135401
Ag,Pd,R-NH2,111,0.075577505,0.15045247,0.74,0.14,0.5340572
Ag,Pt,R-NH2,111,0.32460364,0.44628174,-0.826,0.11,1.85415261
Au,Ag,R-NH2,111,0.105732365,-0.0581448,1.00663,-0.01,-0.2519786
Au,Cu,R-NH2,111,0.079684079,0.04437945,1.07363,0.33,0.12621962
Au,Ni,R-NH2,111,-0.195398576,0.2793423,1.15263,0.4,1.15937546
Au,Pd,R-NH2,111,-0.004752619,0.0923077,1.74663,0.13,0.28207864
Au,Pt,R-NH2,111,-0.097777344,0.38813697,0.18063,0.1,1.60217406
Cu,Ag,R-NH2,111,-0.086876064,-0.1025242,-0.067,-0.34,-0.3781982
Cu,Au,R-NH2,111,0.024718652,-0.0443794,-1.07363,-0.33,-0.1262196
Cu,Ni,R-NH2,111,-0.036925681,0.23496285,0.079,0.07,1.03315583
Cu,Pd,R-NH2,111,0.144790594,0.04792825,0.673,-0.2,0.15585902
Cu,Pt,R-NH2,111,0.112154652,0.34375753,-0.893,-0.23,1.47595444
Ni,Ag,R-NH2,111,-0.108154977,-0.3374871,-0.146,-0.41,-1.411354
Ni,Au,R-NH2,111,-0.152778068,-0.2793423,-1.15263,-0.4,-1.1593755
Ni,Cu,R-NH2,111,0.141367386,-0.2349628,-0.079,-0.07,-1.0331558
Ni,Pd,R-NH2,111,-0.011474462,-0.1870346,0.594,-0.27,-0.8772968
Ni,Pt,R-NH2,111,0.096077549,0.10879468,-0.972,-0.3,0.4427986
Pd,Ag,R-NH2,111,0.122954289,-0.1504525,-0.74,-0.14,-0.5340572
Pd,Au,R-NH2,111,0.234751276,-0.0923077,-1.74663,-0.13,-0.2820786
Pd,Cu,R-NH2,111,0.333497974,-0.0479283,-0.673,0.2,-0.155859
Pd,Ni,R-NH2,111,0.039233563,0.1870346,-0.594,0.27,0.87729681
Pd,Pt,R-NH2,111,0.190770026,0.29582927,-1.566,-0.03,1.32009542
Pt,Ag,R-NH2,111,-0.159013084,-0.4462817,0.826,-0.11,-1.8541526
Pt,Au,R-NH2,111,-0.375787464,-0.388137,-0.18063,-0.1,-1.6021741
Pt,Cu,R-NH2,111,0.380463582,-0.3437575,0.893,0.23,-1.4759544
Pt,Ni,R-NH2,111,0.287062319,-0.1087947,0.972,0.3,-0.4427986
Pt,Pd,R-NH2,111,0.129853043,-0.2958293,1.566,0.03,-1.3200954
Ag,Au,R-NH,100,0.196446719,0.06541286,-1.00663,0.01,0.16137234
Ag,Cu,R-NH,100,-0.115928329,0.11533974,0.067,0.34,0.38635762
Ag,Ni,R-NH,100,-0.255437932,0.37967295,0.146,0.41,1.07839834
Ag,Pd,R-NH,100,0.062581122,0.16925903,0.74,0.14,0.16013829
Ag,Pt,R-NH,100,0.240407674,0.50206696,-0.826,0.11,1.02972901
Au,Ag,R-NH,100,0.200728027,-0.0654129,1.00663,-0.01,-0.1613723
Au,Cu,R-NH,100,0.099591645,0.04992688,1.07363,0.33,0.22498527
Au,Ni,R-NH,100,-0.162347318,0.31426008,1.15263,0.4,0.917026
Au,Pd,R-NH,100,0.209218218,0.10384616,1.74663,0.13,-0.0012341
Au,Pt,R-NH,100,0.047777769,0.4366541,0.18063,0.1,0.86835667
Cu,Ag,R-NH,100,-0.106659925,-0.1153397,-0.067,-0.34,-0.3863576
Cu,Au,R-NH,100,0.072695929,-0.0499269,-1.07363,-0.33,-0.2249853
Cu,Ni,R-NH,100,0.057743819,0.2643332,0.079,0.07,0.69204072
Cu,Pd,R-NH,100,0.389094856,0.05391928,0.673,-0.2,-0.2262193
Cu,Pt,R-NH,100,0.416450723,0.38672722,-0.893,-0.23,0.6433714
Ni,Ag,R-NH,100,-0.430858965,-0.3796729,-0.146,-0.41,-1.0783983
Ni,Au,R-NH,100,-0.393684837,-0.3142601,-1.15263,-0.4,-0.917026
Ni,Cu,R-NH,100,-0.011077764,-0.2643332,-0.079,-0.07,-0.6920407
Ni,Pd,R-NH,100,-0.110837434,-0.2104139,0.594,-0.27,-0.91826
Ni,Pt,R-NH,100,0.154591329,0.12239401,-0.972,-0.3,-0.0486693
Pd,Ag,R-NH,100,0.053661934,-0.169259,-0.74,-0.14,-0.1601383
Pd,Au,R-NH,100,0.122710293,-0.1038462,-1.74663,-0.13,0.00123405
Pd,Cu,R-NH,100,0.258968423,-0.0539193,-0.673,0.2,0.22621932
Pd,Ni,R-NH,100,-0.079954225,0.21041392,-0.594,0.27,0.91826005
Pd,Pt,R-NH,100,0.218302531,0.33280793,-1.566,-0.03,0.86959072
Pt,Ag,R-NH,100,-0.340440764,-0.502067,0.826,-0.11,-1.029729
Pt,Au,R-NH,100,-0.550120618,-0.4366541,-0.18063,-0.1,-0.8683567
Pt,Cu,R-NH,100,0.278488469,-0.3867272,0.893,0.23,-0.6433714
Pt,Ni,R-NH,100,0.115518646,-0.122394,0.972,0.3,0.04866932
Pt,Pd,R-NH,100,0.03255668,-0.3328079,1.566,0.03,-0.8695907
Ag,Au,R-NH,111,0.172592513,0.05814477,-1.00663,0.01,0.16137234
Ag,Cu,R-NH,111,-0.147856894,0.10252422,0.067,0.34,0.38635762
Ag,Ni,R-NH,111,-0.217183652,0.33748706,0.146,0.41,1.07839834
Ag,Pd,R-NH,111,0.069683137,0.15045247,0.74,0.14,0.16013829
Ag,Pt,R-NH,111,0.194607026,0.44628174,-0.826,0.11,1.02972901
Au,Ag,R-NH,111,0.190105432,-0.0581448,1.00663,-0.01,-0.1613723
Au,Cu,R-NH,111,0.040596167,0.04437945,1.07363,0.33,0.22498527
Au,Ni,R-NH,111,-0.226214023,0.2793423,1.15263,0.4,0.917026
Au,Pd,R-NH,111,0.17287957,0.0923077,1.74663,0.13,-0.0012341
Au,Pt,R-NH,111,0.004816174,0.38813697,0.18063,0.1,0.86835667
Cu,Ag,R-NH,111,-0.056381413,-0.1025242,-0.067,-0.34,-0.3863576
Cu,Au,R-NH,111,0.084095239,-0.0443794,-1.07363,-0.33,-0.2249853
Cu,Ni,R-NH,111,-0.058497813,0.23496285,0.079,0.07,0.69204072
Cu,Pd,R-NH,111,0.256789919,0.04792825,0.673,-0.2,-0.2262193
Cu,Pt,R-NH,111,0.212362475,0.34375753,-0.893,-0.23,0.6433714
Ni,Ag,R-NH,111,-0.137477451,-0.3374871,-0.146,-0.41,-1.0783983
Ni,Au,R-NH,111,-0.141678377,-0.2793423,-1.15263,-0.4,-0.917026
Ni,Cu,R-NH,111,0.188974101,-0.2349628,-0.079,-0.07,-0.6920407
Ni,Pd,R-NH,111,0.053432792,-0.1870346,0.594,-0.27,-0.91826
Ni,Pt,R-NH,111,0.214332845,0.10879468,-0.972,-0.3,-0.0486693
Pd,Ag,R-NH,111,0.146084072,-0.1504525,-0.74,-0.14,-0.1601383
Pd,Au,R-NH,111,0.245383287,-0.0923077,-1.74663,-0.13,0.00123405
Pd,Cu,R-NH,111,0.335582898,-0.0479283,-0.673,0.2,0.22621932
Pd,Ni,R-NH,111,-0.081948383,0.1870346,-0.594,0.27,0.91826005
Pd,Pt,R-NH,111,0.165472044,0.29582927,-1.566,-0.03,0.86959072
Pt,Ag,R-NH,111,-0.370299496,-0.4462817,0.826,-0.11,-1.029729
Pt,Au,R-NH,111,-0.446111575,-0.388137,-0.18063,-0.1,-0.8683567
Pt,Cu,R-NH,111,0.403715626,-0.3437575,0.893,0.23,-0.6433714
Pt,Ni,R-NH,111,0.270792895,-0.1087947,0.972,0.3,0.04866932
Pt,Pd,R-NH,111,0.06420649,-0.2958293,1.566,0.03,-0.8695907
Ag,Au,R-S,100,0.265087875,0.06541286,-1.00663,0.01,0.06316048
Ag,Cu,R-S,100,0.011791158,0.11533974,0.067,0.34,0.15432548
Ag,Ni,R-S,100,-0.160524583,0.37967295,0.146,0.41,0.36322452
Ag,Pd,R-S,100,0.004322567,0.16925903,0.74,0.14,-0.0028716
Ag,Pt,R-S,100,0.332622048,0.50206696,-0.826,0.11,0.42981866
Au,Ag,R-S,100,0.232823506,-0.0654129,1.00663,-0.01,-0.126321
Au,Cu,R-S,100,0.197943974,0.04992688,1.07363,0.33,0.18232999
Au,Ni,R-S,100,-0.072647542,0.31426008,1.15263,0.4,0.60012808
Au,Pd,R-S,100,0.139104843,0.10384616,1.74663,0.13,-0.1320641
Au,Pt,R-S,100,-0.039180123,0.4366541,0.18063,0.1,0.73331636
Cu,Ag,R-S,100,-0.2127085,-0.1153397,-0.067,-0.34,-0.1543255
Cu,Au,R-S,100,0.068766069,-0.0499269,-1.07363,-0.33,-0.091165
Cu,Ni,R-S,100,0.03443375,0.2643332,0.079,0.07,0.20889904
Cu,Pd,R-S,100,0.231872432,0.05391928,0.673,-0.2,-0.157197
Cu,Pt,R-S,100,0.454936437,0.38672722,-0.893,-0.23,0.27549318
Ni,Ag,R-S,100,-0.43096276,-0.3796729,-0.146,-0.41,-0.3632245
Ni,Au,R-S,100,-0.280768991,-0.3142601,-1.15263,-0.4,-0.300064
Ni,Cu,R-S,100,0.015149245,-0.2643332,-0.079,-0.07,-0.208899
Ni,Pd,R-S,100,-0.089366833,-0.2104139,0.594,-0.27,-0.3660961
Ni,Pt,R-S,100,0.370694543,0.12239401,-0.972,-0.3,0.06659414
Pd,Ag,R-S,100,-0.034742811,-0.169259,-0.74,-0.14,0.00287156
Pd,Au,R-S,100,0.161595751,-0.1038462,-1.74663,-0.13,0.06603204
Pd,Cu,R-S,100,0.349180669,-0.0539193,-0.673,0.2,0.15719704
Pd,Ni,R-S,100,0.101006012,0.21041392,-0.594,0.27,0.36609608
Pd,Pt,R-S,100,0.390443244,0.33280793,-1.566,-0.03,0.43269022
Pt,Ag,R-S,100,-0.734605787,-0.502067,0.826,-0.11,-0.4298187
Pt,Au,R-S,100,-0.785140595,-0.4366541,-0.18063,-0.1,-0.3666582
Pt,Cu,R-S,100,0.087857953,-0.3867272,0.893,0.23,-0.2754932
Pt,Ni,R-S,100,0.080035985,-0.122394,0.972,0.3,-0.0665941
Pt,Pd,R-S,100,-0.206559922,-0.3328079,1.566,0.03,-0.4326902
Ag,Au,R-S,111,0.195075851,0.05814477,-1.00663,0.01,0.084213979
Ag,Cu,R-S,111,-0.131237271,0.10252422,0.067,0.34,0.205767306
Ag,Ni,R-S,111,-0.167749619,0.33748706,0.146,0.41,0.484299363
Ag,Pd,R-S,111,-0.012342509,0.15045247,0.74,0.14,-0.003828745
Ag,Pt,R-S,111,0.183655169,0.44628174,-0.826,0.11,0.57309155
Au,Ag,R-S,111,0.180691229,-0.0581448,1.00663,-0.01,-0.084213979
Au,Cu,R-S,111,0.049666566,0.04437945,1.07363,0.33,0.121553327
Au,Ni,R-S,111,-0.24422277,0.2793423,1.15263,0.4,0.400085383
Au,Pd,R-S,111,0.06101257,0.0923077,1.74663,0.13,-0.088042725
Au,Pt,R-S,111,-0.071889056,0.38813697,0.18063,0.1,0.488877571
Cu,Ag,R-S,111,-0.241296207,-0.1025242,-0.067,-0.34,-0.205767306
Cu,Au,R-S,111,-0.201856651,-0.0443794,-1.07363,-0.33,-0.121553327
Cu,Ni,R-S,111,-0.090737014,0.23496285,0.079,0.07,0.278532056
Cu,Pd,R-S,111,0.131734298,0.04792825,0.673,-0.2,-0.209596052
Cu,Pt,R-S,111,0.058421615,0.34375753,-0.893,-0.23,0.367324244
Ni,Ag,R-S,111,-0.735510068,-0.3374871,-0.146,-0.41,-0.484298036
Ni,Au,R-S,111,-0.788297961,-0.2793423,-1.15263,-0.4,-0.400085383
Ni,Cu,R-S,111,0.028240785,-0.2349628,-0.079,-0.07,-0.278532056
Ni,Pd,R-S,111,-0.144548886,-0.1870346,0.594,-0.27,-0.488128099
Ni,Pt,R-S,111,0.340452522,0.10879468,-0.972,-0.3,0.088792187
Pd,Ag,R-S,111,-0.407003196,-0.1504525,-0.74,-0.14,0.003828745
Pd,Au,R-S,111,-0.354673535,-0.0923077,-1.74663,-0.13,0.088042725
Pd,Cu,R-S,111,0.304787449,-0.0479283,-0.673,0.2,0.209596052
Pd,Ni,R-S,111,-0.124566608,0.1870346,-0.594,0.27,0.488128108
Pd,Pt,R-S,111,0.273920301,0.29582927,-1.566,-0.03,0.576920295
Pt,Ag,R-S,111,-0.798767645,-0.4462817,0.826,-0.11,-0.573090223
Pt,Au,R-S,111,-0.353075349,-0.388137,-0.18063,-0.1,-0.488877571
Pt,Cu,R-S,111,-0.157948985,-0.3437575,0.893,0.23,-0.367324244
Pt,Ni,R-S,111,-0.161802884,-0.1087947,0.972,0.3,-0.088792187
Pt,Pd,R-S,111,0.091269936,-0.2958293,1.566,0.03,-0.576920286
